sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2024-05-22;563,80;564,20;567,40;569,00;561,00;563,80;563,487;374810;211201578,7;2577;
2024-05-21;567,00;567,20;559,40;567,80;558,80;567,40;564,202;425676;239828569,7;2504;
2024-05-20;558,60;558,80;558,40;562,00;557,40;559,40;558,891;284016;158599509,6;1878;
2024-05-17;558,40;558,60;562,40;563,40;555,20;558,40;558,14;451214;251841154,7;2758;
2024-05-16;563,00;563,60;572,00;572,20;562,60;563,40;565,889;627126;354896636,5;3929;
2024-05-15;571,00;571,40;570,00;572,20;566,60;570,60;569,535;663293;377770873,9;3444;
2024-05-14;568,40;568,80;569,40;572,40;563,40;568,60;567,801;804575;456792725;3722;
2024-05-13;568,60;568,80;562,60;569,40;562,00;569,40;567,288;522426;296365157;2885;
2024-05-10;563,20;563,40;561,40;565,80;558,40;562,80;562,79;506181;284878491,7;3098;
2024-05-08;555,40;555,80;551,80;557,60;550,80;556,00;554,834;332753;184627264,6;1986;
2024-05-07;546,00;546,20;543,20;547,00;538,20;547,00;543,331;496930;269918798,5;2679;
2024-05-06;541,20;541,60;540,00;542,00;538,40;542,00;540,337;411574;222374769,8;2316;
2024-05-03;537,20;537,60;537,80;539,60;532,40;537,80;536,561;370048;198554407,2;2842;
2024-05-02;536,60;537,00;539,60;541,00;534,20;537,80;537,40;658732;354005822,31;4072;
2024-04-30;543,80;544,20;545,00;546,20;536,00;544,20;542,83;277918;150862158,9;1928;
2024-04-29;542,80;543,20;539,60;544,00;538,80;543,40;541,718;420483;227769520,3;2760;
2024-04-26;539,20;539,60;533,40;539,80;530,20;539,40;536,032;370015;198339679,8;2540;
2024-04-25;532,40;532,60;531,40;532,60;526,60;532,20;530,68;533685;283216585,9;2889;
2024-04-24;531,40;531,60;528,80;536,40;528,80;532,00;532,658;523975;279115402,4;3367;
2024-04-23;529,00;529,20;530,00;531,60;525,20;528,80;528,843;594458;314377276,8;3484;
2024-04-22;528,20;528,40;538,40;539,00;525,80;528,60;530,147;677355;359072722,5;4630;
2024-04-19;536,20;536,40;530,20;536,80;525,20;535,80;531,364;1109518;589441436,92;5015;
2024-04-18;531,20;531,40;519,40;532,80;519,40;532,00;528,238;1864245;984776628,81;7950;
2024-04-17;501,60;502,00;496,40;505,80;496,40;501,80;502,101;601954;302237085,15;2985;
2024-04-16;496,40;496,60;497,70;500,20;492,90;496,40;497,169;614946;305738688,39;4682;
2024-04-15;502,60;502,80;497,50;507,80;496,40;502,00;502,689;462180;232354525,05;3125;
2024-04-12;500,20;500,60;501,60;504,80;498,40;500,20;501,671;611643;306842532,25;3145;
2024-04-11;497,10;497,20;497,40;499,50;490,60;497,60;495,461;856999;424628487,5;4553;
2024-04-10;497,20;497,30;491,00;497,80;489,50;497,40;493,961;688705;340181843,4;4402;
2024-04-09;489,90;490,10;491,00;493,90;487,80;490,20;490,492;510102;250202711,85;3132;
2024-04-08;490,70;490,90;493,00;494,90;490,00;491,30;492,242;402900;198296651,01;2301;
2024-04-05;492,70;492,90;492,60;493,60;486,60;493,40;490,908;580917;285169618,15;3831;
2024-04-04;493,70;493,90;493,10;494,60;489,80;494,60;492,96;434937;214401332,4;2880;
2024-04-03;494,10;494,20;493,00;495,40;491,60;494,10;493,693;352505;174021983,75;3241;
